"","ISO_code","county","date","grocery.pharmacy","parks","residential","retail.recreation","transitstations","workplace","ISO_name"
"1","AT","Overall",2020-02-23,-0.23233,-0.04432,-0.00271,-0.03799,-0.05259,-0.02377,"Austria"
"2","AT","Overall",2020-02-24,-0.09792,-0.25055,-0.00504,-0.08879,-0.03099,-0.02095,"Austria"
"3","AT","Overall",2020-02-25,-0.0961,-0.59695,0.00039,-0.13059,-0.06566,-0.00473,"Austria"
"4","AT","Overall",2020-02-26,-0.10445,-0.08001,0.01365,0.02895,0.01859,0.00124,"Austria"
"5","AT","Overall",2020-02-27,-0.07169,-0.08899,0.00594,-0.00723,-0.00474,-0.01354,"Austria"
"6","AT","Overall",2020-02-28,-0.08784,0.00882,0.00799,0.00591,0.01592,-0.00908,"Austria"
"7","AT","Overall",2020-02-29,-0.02857,-0.08983,0.00324,-0.0234,-0.00081,-0.00545,"Austria"
"8","AT","Overall",2020-03-01,-0.08476,-0.0639,0.00089,0.00382,-0.00717,-0.01554,"Austria"
"9","AT","Overall",2020-03-02,-0.05879,-0.16246,-0.00733,-0.01592,-0.01052,-0.02731,"Austria"
"10","AT","Overall",2020-03-03,-0.03572,0.00655,0.00589,0.01102,0.02993,-0.01921,"Austria"
"11","AT","Overall",2020-03-04,-0.04516,-0.12078,-0.0027,-0.02479,-0.00392,-0.01512,"Austria"
"12","AT","Overall",2020-03-05,-0.02881,-0.0437,-0.00278,-0.01106,0.00114,-0.01481,"Austria"
"13","AT","Overall",2020-03-06,-0.02901,0.06739,0.00448,0.0086,0.02221,-0.01125,"Austria"
"14","AT","Overall",2020-03-07,-9e-05,0.02167,0.00353,-0.04228,0.03487,0.00045,"Austria"
"15","AT","Overall",2020-03-08,-0.14014,-0.41887,-0.01589,-0.13747,-0.0461,-0.0122,"Austria"
"16","AT","Overall",2020-03-09,-0.04169,-0.01851,-0.00175,0.00549,0.02634,-0.01369,"Austria"
"17","AT","Overall",2020-03-10,-0.10479,-0.08748,0.00366,0.02672,0.02928,-0.0094,"Austria"
"18","AT","Overall",2020-03-11,-0.17381,-0.11835,0.01182,0.06497,0.07757,0.01122,"Austria"
"19","AT","Overall",2020-03-12,-0.24128,-0.17982,0.01703,0.09841,0.09337,0.02848,"Austria"
"20","AT","Overall",2020-03-13,-0.46547,0.2029,0.05016,0.19973,0.20007,0.05629,"Austria"
"21","AT","Overall",2020-03-14,0.07487,0.16973,0.08096,0.35286,0.33819,0.09456,"Austria"
"22","AT","Overall",2020-03-15,0.31709,0.12629,0.0769,0.58663,0.42663,0.1837,"Austria"
"23","AT","Overall",2020-03-16,0.14354,0.36992,0.18842,0.70831,0.56509,0.4349,"Austria"
"24","AT","Overall",2020-03-17,0.3161,0.43248,0.23622,0.79507,0.65813,0.55111,"Austria"
"25","AT","Overall",2020-03-18,0.29751,0.23609,0.2398,0.78882,0.64928,0.57623,"Austria"
"26","AT","Overall",2020-03-19,0.28588,0.32173,0.25248,0.79706,0.66904,0.59704,"Austria"
"27","AT","Overall",2020-03-20,0.27578,0.3237,0.257,0.8115,0.68318,0.59565,"Austria"
"28","AT","Overall",2020-03-21,0.39264,0.72882,0.2019,0.87977,0.75588,0.53579,"Austria"
"29","AT","Overall",2020-03-22,0.69091,0.60066,0.15162,0.89762,0.76086,0.54096,"Austria"
"30","AT","Overall",2020-03-23,0.31065,0.57164,0.25216,0.79558,0.71577,0.59975,"Austria"
"31","AT","Overall",2020-03-24,0.32388,0.44362,0.2602,0.80342,0.70684,0.61364,"Austria"
"32","AT","Overall",2020-03-25,0.33907,0.57653,0.26818,0.81476,0.72756,0.61697,"Austria"
"33","AT","Overall",2020-03-26,0.3144,0.5908,0.27509,0.81234,0.72292,0.61867,"Austria"
"34","AT","Overall",2020-03-27,0.26352,0.38643,0.2659,0.79962,0.69776,0.60547,"Austria"
"35","AT","Overall",2020-03-28,0.30559,0.20765,0.16591,0.8261,0.65997,0.48869,"Austria"
"36","AT","Overall",2020-03-29,0.64499,0.42748,0.13697,0.87184,0.71447,0.5136,"Austria"
"37","AT","Overall",2020-03-30,0.31081,0.57292,0.24556,0.77948,0.70744,0.586,"Austria"
"38","AT","Overall",2020-03-31,0.24463,0.47081,0.24703,0.77263,0.69315,0.59155,"Austria"
"39","AT","Overall",2020-04-01,0.29925,0.34105,0.24275,0.77053,0.67089,0.58974,"Austria"
"40","AT","Overall",2020-04-02,0.29028,0.3628,0.24965,0.77103,0.67586,0.59446,"Austria"
"41","AT","Overall",2020-04-03,0.25038,0.45995,0.25717,0.79102,0.68721,0.59307,"Austria"
"42","AT","Overall",2020-04-04,0.30423,0.36204,0.16989,0.82436,0.66899,0.47833,"Austria"
"43","AT","Overall",2020-04-05,0.54908,0.11338,0.11859,0.82153,0.64096,0.46543,"Austria"
"44","BE","Overall",2020-02-23,0.06708,0.27427,0.00374,0.06802,0.02137,0.03851,"Belgium"
"45","BE","Overall",2020-02-24,-0.00075,-0.0663,0.04107,-0.0705,0.10696,0.24314,"Belgium"
"46","BE","Overall",2020-02-25,-0.01528,-0.28784,0.03578,-0.09634,0.08019,0.22586,"Belgium"
"47","BE","Overall",2020-02-26,0.0455,0.0353,0.03006,0.01247,0.11422,0.20585,"Belgium"
"48","BE","Overall",2020-02-27,0.01678,0.15238,0.05699,0.02222,0.15233,0.22914,"Belgium"
"49","BE","Overall",2020-02-28,-0.02976,-0.02985,0.04562,0.00734,0.09771,0.23054,"Belgium"
"50","BE","Overall",2020-02-29,-0.0243,0.07263,0.00795,0.04334,0.02359,0.04551,"Belgium"
"51","BE","Overall",2020-03-01,-0.06067,0.02401,-0.00291,8e-04,-0.05287,0.00591,"Belgium"
"52","BE","Overall",2020-03-02,-0.06516,0.1219,0.0047,0.03587,-0.0014,-0.03097,"Belgium"
"53","BE","Overall",2020-03-03,-0.06458,-0.10785,-0.00018,-0.01802,-0.00785,-0.03555,"Belgium"
"54","BE","Overall",2020-03-04,-0.04143,-0.06703,0.00052,-0.01453,-0.01215,-0.03529,"Belgium"
"55","BE","Overall",2020-03-05,-0.00693,0.15681,0.0154,0.0419,0.01639,-0.01821,"Belgium"
"56","BE","Overall",2020-03-06,-0.04908,-0.0169,0.00716,0.00576,-0.02639,-0.01812,"Belgium"
"57","BE","Overall",2020-03-07,-0.02528,-0.33518,-0.00473,-0.04631,-0.078,-0.01551,"Belgium"
"58","BE","Overall",2020-03-08,-0.00518,0.20883,0.00446,0.01145,0.01779,0.0075,"Belgium"
"59","BE","Overall",2020-03-09,-0.04246,-0.0638,0.00457,0.01192,0.01315,-0.02025,"Belgium"
"60","BE","Overall",2020-03-10,-0.03625,0.047,0.01629,0.04464,0.04199,-0.00714,"Belgium"
"61","BE","Overall",2020-03-11,-0.04067,0.0272,0.01571,0.03537,0.03942,-0.00578,"Belgium"
"62","BE","Overall",2020-03-12,-0.22672,-0.04458,0.02683,0.06876,0.06946,0.01303,"Belgium"
"63","BE","Overall",2020-03-13,-0.39742,0.05379,0.05148,0.08184,0.16412,0.07428,"Belgium"
"64","BE","Overall",2020-03-14,0.082,0.00429,0.11951,0.69802,0.34021,0.26837,"Belgium"
"65","BE","Overall",2020-03-15,0.18031,-0.19864,0.08499,0.656,0.33639,0.28604,"Belgium"
"66","BE","Overall",2020-03-16,-0.15873,-0.06559,0.13966,0.31668,0.43475,0.35933,"Belgium"
"67","BE","Overall",2020-03-17,-0.30478,-0.30606,0.16415,0.35923,0.46165,0.44722,"Belgium"
